"","x"
"(Intercept)",-0.502222792340426
"strength",0.00732067230519959
"accuracy",0.00155069164172622
"energy",-0.00209522286407698
"speed",0.00677104160038533
"toughness",0.000713160218234768
"noAbilities",0.532312066735894
"extraDamageOnHit",0.571968716092647
"gainStrengthOnHitTaken",0.555884965117417
"powerfulFists",0.584475510166274
"shorterCooldowns",0.547477731035449
"battleAxe",0.0701504336844192
"bow",0.0799318949915982
"cornDog",-0.0258816904577535
"devilHorns",0.116364301491734
"diamondSword",0.0940036165637124
"fairyHat",0.0380367010423026
"flamingoFloaty",-0.00332554436378218
"frillySkirt",0.289415827449622
"fullSuitOfArmor",0.0670178664623404
"jellyhat",0.0940782960430463
"laserBlaster",0.137295809534379
"rhinocerosBeetleHorn",-0.0225736552536007
"rollerBlades",0.0745881327939222
"shield",0.022924217065002
"shiv",-0.000824747595385128
"snowmanHead",0.098902021411846
"sportsJersey",0.113102914186809
"vikingHelmet",-0.0146062790251168
"wandOfFlames",0.0826806586714308
"zapHelmet",0.115185767225132
"strength:accuracy",-0.000153618140145482
"strength:energy",-9.87267832672743e-05
"strength:speed",7.41779234772701e-05
"strength:toughness",0.000470145583046776
"strength:noAbilities",6.40985571404922e-05
"strength:extraDamageOnHit",-0.00172804999905785
"strength:gainStrengthOnHitTaken",-0.000401418143507029
"strength:powerfulFists",0.000656829944235085
"strength:battleAxe",0.0116879828662756
"strength:bow",-0.00908779261894155
"strength:cornDog",0.00366424500578
"strength:devilHorns",-0.00382489962610553
"strength:diamondSword",0.00601601042407351
"strength:fairyHat",-0.00126406089732641
"strength:flamingoFloaty",0.00451755814453523
"strength:frillySkirt",0.00306915290088006
"strength:fullSuitOfArmor",0.00340622760098487
"strength:jellyhat",-0.000785336436921176
"strength:laserBlaster",-0.00734125114928608
"strength:rhinocerosBeetleHorn",0.000137818871673986
"strength:rollerBlades",0.0016842796181649
"strength:shield",0.00129721692599865
"strength:shiv",0.00116185315909688
"strength:snowmanHead",-0.00526008358315671
"strength:sportsJersey",-0.000471942034974177
"strength:vikingHelmet",0.00431365990756737
"strength:wandOfFlames",-0.00470106214919577
"strength:zapHelmet",-0.00158853217898931
"accuracy:energy",0.000443455924257263
"accuracy:speed",-0.000145237283157367
"accuracy:toughness",0.000110532180113665
"accuracy:noAbilities",-0.00138344435309994
"accuracy:extraDamageOnHit",0.000116859509239907
"accuracy:gainStrengthOnHitTaken",-0.00256566880759667
"accuracy:powerfulFists",-0.00312678976147159
"accuracy:battleAxe",-0.000756602350000952
"accuracy:bow",0.0122735961011562
"accuracy:cornDog",0.00135028957040631
"accuracy:devilHorns",-0.00290278939758734
